plat,sa_username,sa,kol_id
instagram,putryjeje,a377001b-ea03-419c-91ae-6ee88f5b5e49,70a116b6-c0f1-42f7-ba15-7110690c8436
instagram,queenviolia,9f291f82-7fd1-413b-98e5-e8fff88a5b12,c4cb30dc-c504-4473-8147-d9b5f16070d7
instagram,raditya_dika,e1bf46af-ac40-4a08-9cb3-bc6e2034ba34,1783607a-75b8-497b-bd51-ba065d056ba8
instagram,raffinagita1717,d3a87642-e5c3-4e41-a359-b0d708b8a058,606c41ef-8944-4c37-8615-49db65400931
instagram,raniaayamin,06712845-dada-40c7-bad8-873bd3f18587,b586c346-f144-433d-9325-b25015f6db2e
instagram,rayanurfitrird,75fc405b-264e-4483-b7f7-e3c371da719d,8dbcdc43-8754-47c7-931d-1607af7308c0
instagram,regina_nugroho,d58bc473-0702-47e0-a0a5-045da62f3915,fb881b09-d45e-4949-bba5-a2a959f01fe3
instagram,rennireree,26465651-7a14-4c01-be6f-527ceebd39df,123c1223-0ddf-4a93-85ad-1c0580194914
instagram,riaricis1795,aca4a01d-a7c5-4cab-9e99-8e31344653b7,f0354daa-0460-411e-9fb8-b3a994db2490
instagram,saalhaerid,c8699f2e-bd28-4cd6-8053-9ee54a68e0f1,6ce42ec0-2a7c-4642-8a3d-f445d1fe7e2b
instagram,scepynun,1c951a14-8cbc-4bcd-8d15-663a5a093577,136f1848-aa38-4933-8a31-ec5b72078310
instagram,syakirdaulay,e2b314b3-3cb6-417f-a824-4d69d6aff268,217a2c1f-e1ac-4ba4-aad9-5ddab92e08f5
instagram,sysyaaaaaaa_,7b8df9e4-40ce-494a-9a1e-87ffd0b5e24c,4f87f930-179b-4b7e-b4fb-6f297cf761d9
instagram,tasyafarasya,928f03c9-228d-4318-bf5c-3a11119f5fa2,ad479019-10d8-426f-832f-f089b67baa4f
instagram,tasyakamila,758a5d48-46d6-4aed-a094-9d861ab10fb1,7ca65780-8a77-423a-b203-27a3c9454db6
instagram,tellaaa09,539e2686-2006-41ab-92f5-1dc901d7e033,b7e1d305-58d7-4194-b49a-6f59207b588a
instagram,theliztagram,403e9fbf-1ab3-4511-8e49-c2a2c62b164d,315db678-0056-42a4-8ff5-87fe3dd874b0
instagram,vaniafebrianne,f8c2b80d-b83c-4ddc-9079-fda9405f6a6a,534723c7-4985-4b83-ae62-d46ca2bf3814
instagram,vfeliciwa,78afde7a-3c0b-4aed-9b8c-64b9a2acf0d0,35a0254e-7860-4f4d-8075-fdfb0d64b764
instagram,withzaza,db422d2a-4388-4fbf-9b36-588418988bfd,7cda0fcd-31ba-4dce-91de-da363c3054ff
instagram,wulanguritno,5e6c90c3-a0d6-43c2-8fa4-2650582cdcfd,15c30acd-118d-4841-bc5c-475b26ee80e9
instagram,yudhistirawr,c2aa6030-82fa-4cfa-8f4d-1fa0780585f8,fd63db81-6fa8-4941-803c-4f4433d588ab
tiktok,arafahrianti02,d5763d54-c1d7-4fa2-937b-708cbad56a14,f2e8a875-e9c3-4db8-a441-0fe043763440
tiktok,bangsaonline,cad35f1c-dfea-40c4-847e-5a5a9b8d967d,1b3afc5a-ff2c-4723-bb2e-d33bb9989c91
tiktok,botakteras,e6ff98a3-9a38-438d-9b84-e4dd16482035,6bdd8713-8312-451e-8901-06a353aa9696
tiktok,celinenobleza,1a725845-8914-448b-b124-13337c17e21a,94dfc30e-a022-4fea-b747-0bb8ba410a0c
tiktok,dennysumargoreal,dd5d860f-a608-47dc-aa64-7fe3a06d7cbb,68fdc2e2-e5e7-4745-8f67-052ed1d0a630
tiktok,ditanganu,7f24a513-b477-4c39-a8f8-1147f944ba76,934b0de4-d57a-4798-a36f-79dc15bc07b0
tiktok,drrichardlee,db63867e-bf06-45a1-a274-058c0c64f5b5,77b96ce0-f4eb-45ec-af1d-42877b54588a
tiktok,efritaasmr,b9e81474-2d43-460e-871b-054fe0f2c2ac,a944dfa2-38b1-4962-814a-997fc9c651c7
tiktok,erickapineda09,a08fa0b5-593b-4e81-8121-3fea3956abd3,6115ab2f-8e56-4656-989d-a0a2895e8b43
tiktok,eunicetjoaa,b252a260-4dc9-4a1a-9d1e-785b59210de0,febb54fe-4950-47fa-aa60-8521ef677caa
tiktok,hesfinatia,305b9b0d-11f3-4cd9-9fc5-c7aee90fc609,8e0cdd34-85b3-446c-ad96-d1d19a9d32db
tiktok,iben_ma,aec5ee65-65eb-44aa-868d-3fb59d13cfdb,3f8232fc-ac7f-447f-b0ec-5cee130ee3c6
tiktok,ibnuwardani,4acdd7f4-3c7d-43bf-9a50-1dae453c8247,5f336f2d-8ae2-4002-b456-1c956a274b15
tiktok,imeyhou,c6796f08-b098-4bc9-8c04-8d652c122ea6,0f23dced-231f-4380-8b98-2349b05cab12
tiktok,jennifer.coppen,ca418e84-af4c-4964-a38c-75e10f83c17b,de8a4c94-f595-4f8e-9e20-2a671a82eac7
tiktok,jharnabhagwani,1d360305-5835-451d-8928-163337860ecb,5ab1c10c-e701-4631-a37a-7e4272956e4c
tiktok,knzymyln__,dc33ab1a-0ed1-400e-abd8-4cdbac4f9bf4,3e3cabf8-23c4-42df-bac0-c032565ada2f
tiktok,lalitahutami,ac234201-572f-459b-ab1d-da38e0c9f8c1,4815a3e8-234e-4a76-8112-4e7b01c5f1fa
tiktok,marcelldegen,9f7fcd5a-c75c-40a8-814c-00d6c423c991,5c7bfd60-87d8-4008-b090-838d4f5ff635
tiktok,megandomanii,4b38326c-5a3f-44dd-8b80-901318f0acdc,749fa2b4-ebd0-44bd-9662-52c2da2c6686
tiktok,mursid241,11d560c0-f826-4ab2-8b38-a8d2c3a5f961,7141a6c4-86f0-4b0e-b6af-3509f0f820db
tiktok,nanakoot,d50f9018-1f9e-4d18-b586-25241bacbcb3,ce00cfff-7785-4582-b956-7b1885305396
tiktok,pandawaragroup,fb2c690e-cf92-427b-876d-cf47744411d0,3e91a4aa-5f47-4cc6-b0a2-7b903b47f263
tiktok,pojoksatu.id,0a03ffa4-772d-4c11-97b9-03dcfeaea5cd,b5c58aa0-c1ee-40a4-9ba0-11befb331bd6
tiktok,saalhaerid,4729110e-b229-4aa1-b602-70d32eaadf61,9af7e5b8-8967-46ea-9ace-7f84b7e879ca
tiktok,shaturday,4a6c1ec5-3f92-4a47-9104-e12c7310540e,53ad37df-4a8a-49fb-8521-96627caddad1
tiktok,soimah_pancawati,f20442bd-da74-469e-8d39-18844e194911,1cfa6644-35e8-4e90-a947-85f71a444a40
tiktok,sptrakori_,81870f7b-fb28-4cbd-a577-d5d7ad94eb1d,6b54df83-8c12-4176-95c3-857de80da254
tiktok,veliaveve_,86dabe1a-8ae2-410e-a32c-483218e9344a,a20f97e7-6f0c-408f-9389-f9aedc2d448c
tiktok,yourrkayesss,d297127f-054b-4517-9de9-6eaa703d3cfc,7cf3b6a5-a45c-48b3-be7b-8189fca46233
